,text,sentiment
761, where is home,1
762,singing songs and filming movies  what i do best,2
763,their songs make me want to cry,0
764,while driving u come across aggressive driving behaviour by another driver u should chase the car 2 tell the driver how to drive,0
765,the mediteranian kitchenoh well cant get them all right,1
766, whats wrong,1
767, wasn totally awesome  seeing the rebooted crew was so nice,2
768,d thats good to know and i bet he looks just like you,2
769,43 hahhahah that really made me laugh out loudd ahahahahahahahahah your fuunny,2
770,i so wish i could get pregnant,2
771, im trying to fix it it doesnt do it  and its ahi dios mio but u did good lol,2
772, hiya missed you too what have you been up to,0
773,out to play,1
774,really sick,0
775,yay  my only on sundays maid came the house will be clean again,1
776,thx robban  http,2
777, thanks jk  love ya to death,2
778,going to al ain  need to check out one store hope i find things that im looking for,2
779,geeze im just wondering what is wrong with some people i either need to go for a run or go to sleep tomorrow should be a fun day,1
780,so my parents are too busy making me feel like  to realise that ive got worse and need to see a doctor again no sleep sucks,0
781, gnight jonathan i tried to stay up i really did i cant wait till ur in my timezone will be so much easier then,2
782,prom is so over rated irritated going to bed goodnight,0
783,look everyone im a bad boy im ranked higher than meghan mccain  httptinyurlcomoj76mz,1
784,rain i wanna see her hair  hows everyone,1
785, or ftrh  for the ride home,1
786, english screwed up my overall percentage in x in xii again and probably in adm tests too  happens,0
787, i want chinese food really baaad,2
788,is downloading songs  httpplurkcomprp8wx,1
789, i almost said and grammer no exist either grunt  but i stopped myself,1
790,d youre gonna take good care of that little baby and hes gonna be a strong boy thats for sure,2
791, ha lemme know what you find tho i suspect it will be a lot of complaints have a peaceful night my friend,2
792,seeing shane dawson videos,1
793,  sad face,0
794,aaaaahhhh friday but     funeral at 5,0
795,already misses ,0
796,lauralp ok thanks for the help i hope they respond to me sooner or later then thanks,2
797,  out of commish for a few days in atl with fam  just saw the updates to the net website looks awesome,2
798, awww that sucks  also when i finish uni you should totally have a mini housewarming yes work it around my schedule lol,0
799,at famous daves with my mom so hungry,1
800, i would vote for you miley but i live in ireland  youll be fine  good luck slã¯â¿â½nbye in irish  sorcha xxxx,2
801,home for the nite sleeping on the pull out bed with maggie wishing it was durden  i got to find a apt,1
802,ohsummer beginsyay  the fighting crying and stress has started with the kidsits only been 3 hrs since they got out,0
803,i feel so deflated no more doggy,0
804, sad about young love coming to an end  they were sooo cute together,1
805, omg really  i sowwy ill do it again p i was tired when i did that this morning p lol,0
806,owww back pain  hm walmart or no i could get cupcakes,0
807, i cant believe that you guys are gonna stay just one day here in rio de janeiro again,1
808,making my boyfriend look different  hes  cute no matter what 3,2
809, lol thx,2
810,is working until 11 tonight  httpplurkcompx2kbv,1
811, well there go my peace corps prospects,2
812,rmbr the time when we torned for the night in sentosa i was the only one who didnt have to spit out the  3 unknown facts abt myself,1
813, good idea ill have to remove all the old receipts tissue paper and other nonsense before i can take a pic,2
814,whatever will be will be,1
815,wango tango good night all,1
816, im not in the best financial situation myself at the moment im beyond broke my money is spend as soon as i earn it atm,0
817, hello you  you should totally go to the biggest shopping center in europe and we can go shopping together   ,1
818,fixing openbox theme a little,1
819,selling my laptop for cheap if anyones interested  17 toshiba 13gig ram,1
820,if recent experience is anything to go by i fear i might be going off indian food this is not good people not good,0
821, i wish i wasnt all  bummed but i kinda am,2
822, hey mitchel when will you be live again i didnt get a chance to call you,0
823,looking at the sunshine out of my office window,1
824,back is sore should not have done that jump last night,0
825, we are working,1
826,brides a la mode pow wow first thing this morning   this past weekends lovely wedding fresh in my mind pics soon,2
827,just got my paycheck april bonus can b deposited 2day the rest gotta wait til mon,1
828,nope no way in to stop  just have to put up wiv it,1
829,i recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad  trust me,1
830, not so much a substitute as a variation ate too much too oof,1
831,such beautiful weather why are u sick baby    tanapolis,2
832, oui mademoiselle you can barely turn around these days without bumping into one,1
833,flickr pics chester zoo danwtmoon posted a photo   welcome to chester zoo by jockey  httptinyurlcomcq7qw8,1
834,woke up and watched jon and kate plus eight i tried to pretend like they were still a normail family,1
835, youre a freak,1
836, i dont even know now lenaaa  when you going clothes show,1
837,jane yay buti nagustuhan nyo isang bar lang enclosed ko sa mail  to test if matutunaw or hindi next time uli,1
838,memories,1
839, yep nothing to worry about,2
840,back to work tomorrow  whose idea was it to go back on a saturday oh wait that would be mine fail,0
841, going to start very small like 010 or 050  then slowly to higher stakes,1
842, make a videoblog,1
843,reading evermore by lynn viehl,1
844,wow what a storm we just had now no power,2
845,getting my phone back this week  yeeeewww,2
846,back from school  daily show was amazing  gonna watch it again later i think xd,2
847,breez yer please do have a good day,2
848,musicmonday epic song y   lights and sounds by yellowcard  httptinyurlcomdb7ppm,1
849, hot cuppa coffee made with milk  fortified with monins irish coffee syrup bliss,2
850,right im out of here peeps i hope  fixes twitter mobile so i can tweet from the race mtwitter has been down for 4 days  fail,2
851,my anticipated meet up with tapan parikh is no more  apparently he wont pass by nairobi and will head straight from mombasa,1
852,watching army wives and it always makes me cry,0
853,productive day 1,2
854,rest in peace  adam 12  glenn epps gone but never forgotten what a week loud in da air 4 ya,1
855, gotta love the summer,2
856,marking going ok so far as and bs so far  relieved it looks like i have future programmers in class,1
857, alas no its just a normal night  monday is quiz night,1
858,did anyone go photographing today i managed to get a few macro shots of some flowers that were blooming,1
859,buckley good morning from sunny londonsounds like an oxymoron but happens to be true of today  hurrah,2
860, cool thatd be fantastic,2
861,live on stickamcomitstyleryo come chat,1
862,   but  is right this is like the cape breton coal mines but  no lessons learned,1
863, yes but im quite rusty  im hoping to get back to it and tune up my skills  tim plays guitar  we threaten duets,0
864,hey everybody  hah this day is cool just got back from walk with the dog  omgosh send me the link again please,2
865, srry im not so interesting right now stayed up til 6am cause my tummy hurt and now im pooped and have to work,0
866, me because i might not have enough money for college,0
867,lol woow okay its not that big of a deal,1
868,i love how when i leave my laptop on my bed it creates a nice toasty spot,2
869, i mean someone hit a dog with a car it was just laying there,1
870, does it start tomorrow  i was going to book sam on that and forgot,0
871, salt and vinegar cheese and onion make your breathe smell lol  ,0
872, youre welcome there  i added you already,2
873,rose mornin   missed dance time so i guess i will have to dance extra hard tomorrow,1
874, sorry to hear about your dude probs what is it thats too much,0
875,discovered that numpy arrays can hold values of any type  useful for manipulating arrays of numbers with uncertainties,0
876,maybe i should take up drinking again feel as if i have a massive hangover  still not yself today,0
877,just downloaded the tweet decklook at my and my saviness,1
878,today friday i really hope you will read my messages here and reply to me soon i could not reach you by phone before you go to work,2
879, whatever i know you like it  hahahhah,2
880,oh no my fun weekend with friends is gone my mother has made a family weekend of it  ,0
881,good morning twitterland happy monday,2
882,writing reports,1
883,thanks timmy  turns out he has strep and a high fever,2
884, oh that is very nice i will do something nice next week  going to madrid next weekend for few days,2
885,keeping it chilled,2
886,what a beautiful day not to got to my first class,2
887, fabulous and i didnt get that pic  gmail be acting the fool sometimes can u dm me it,2
888, yeah its terrible  cockatoos are the hardest to live with so emotional good thing he found you though,1
889, that sucks,0
890, yes it does,2
891,datti thanks sankar for ur wishes,2
892,i love waking up and thinking its a weekday but then realizing its the weekend,2
893, sorry bout the cat,0
894, youre the only person to have joined in  penilewords,1
895,up and washed  im clothing myself as i type xd woooo,2
896, miss u too im still at a clubu knowwest coast ,0
897, love love love pot psycology my friday night treat,2
898,happy star wars day  may the fourth be with you,2
899, playing with lighters fire matches and grass,1
900,art that would be the one  its awesome sauce,2
901,bucky my ferret officially has insulinoma  now on daily prednisone had interview with pdoc today have to go back monday for testing,1
902, ive never been to prague but if i had the money itll be in the 10 first cities i visit,2
903,coffee time,1
904, he was creepy for me at first but i did really grow to like him i cried like a baby when he and tosh died,1
905, really that son of a  screw him ill talk to on msn later k  xox,0
906, we didntbut we did have to wait a good twenty minutes for one  good night though,2
907, i always hope they will die out but then i see the the old ones and it makes me sad,0
908, thanks alen it seems that we can only submit community news is this an error or must we prove ourselves,1
909, dont follow me you will ruin my twitter experience,0
910,blah to car repairs almost 600 dollars   shopping around for a better deal,0
911,weetabix and choco milk  yum,2
912, me too,1
913,im sad to have lost another person close to me to cancer,0
914,me thanks kinda bittersweet though,1
915,nutbar good morning  how are you twittertakeover,2
916,first time to twitter,1
917,captain jack is back,1
918,la bens dreams make me so saddddddd  i want them to be togetherrr i swear if this  gets me bawlinggg so help me,0
919,internet you were so fast and now you are so slow where did the fast connection go,1
920, 6 am  you,1
921,30 year old barbie dolls still can rock itthat girl was hot  and ken aint so bad either  now those are memories,0
922,this weather makes my fingers numb  still waiting,0
923, lol yeah ima mama  thanks happy mamas day and lakers day i love it,2
924,doneits summer,1
925, i was just at genos 3hrs ago  would have went to pats but the neon lights got me lol  had drinks at south philly bar too,1
926,httpyfrogcom0xoxij fry bread is good but they only gave me a little pinch of lettuce  ha ha,2
927, its wow effect  thanks for the update,2
928,got up at 8 today and also misses his friend ,0
929,catching up on my reading twitter n bf break,1
930, no thats not right  i remember now  you were in a fearless tweet  we were both seen as fearless,1
931,  my thoughts dwell on a certain person,1
932,transition time is over tonight i work night shift i woke up at 1330,1
933,gonna go to work with my honey today so exciting,2
934, aww thats too bad you lost it though,0
935, this my new more private acc will only use it for close twitter friends,1
936,i hate going online and looking at the balance in the bank  its always a lot lower than i need it to be,0
937, actually the web works fine tweetdeck seems to be the culprit  sadness its done this at two diff locations,1
938,x how did your geo isu go i swear i just had the worse day ever,0
939,and you could have it all my empire of dirt im in ae with dad im freezing fully shivering every1 else is warm  no fones allowed ffs,0
940, tell me what you think of pride prejudice and zombies    if youre not all hyped up on sugar,1
941,tdh can you install ruby gems and rails on keep please,1
942,out for ultimate training looking forward to the sunset,2
943,going to work once again what a great few days off i had now its over  but atleast i get 2 more commin up wahooooooo,2
944, good to see you back sorry that happened to you,1
945,my 1st mothers day tomorrow,1
946,you said darling what happened did i fall asleep and you carry me home cuz i know i wasnt here goodnight twitterererers,2
947, i just about clear my whole office and no sign of it  next place is truck i have yet to fully clean under back seat lol,1
948, its not gonna storm  because i said so,1
949, i broke my ipod,0
950,banks something must be wrong only found 17 july harlsil books i wanted,0
951, haha and you should state pride is important,2
952, ugh did you just say your friend might have swine flu omg why,0
953, haha no problem its fun isn,2
954,finally got to wash my hair i feel much better now but i gotta dry it  effffffort,2
955,finally feel back into swing of things here at work after getting married last week sigh of relief for no more wedding planning,2
956, that sucks  booo,0
957,hates untalented  being mean to my talented friends,1
958,looks like were rained out for weekend climbing,0
959,is google maps not working for anyone else,1
960, oh ,0
961, i dont really trust the judgements and vouches of xo   jk ill think about becoming a friend of yours,0
962, jesus heals,2
963, its surprising how much billy idol turns up in tweets i monitor constantly  not that im obsessed or anything  billyidol,1
964, werd thats very true,1
965, your birthday well happy birthday,2
966,without wings again,1
967, did you tweet me i thought i remembered seeing one but i cant see it now so glad teatree is ok,2
968,night twitterland x i have to be up in five hours  sigh,1
969, happy birthday in 2 hours and 54 minuets  haha,2
970,lunch breaks over going back to work,1
971,glad to see its a typical bank holiday weather wise  i was going to do so much today  yeah right,2
972, hayley williams is pretty much amazzing,2
973, the app said i need 1215 or later,1
974, nothing,1
975,is in php website upgrade hell on a bank holiday hows that for planning,1
976, not really having a good night missing my little girl,0
977,  miss you captain,0
978,im sending this to my mother  httpbitly1aa1rf,1
979, oi are you mocking the fact i dont cry at tv things  feels badxxx,0
980, i am public and cant get anyone to follow me,1
981, until  brings back our everyone button access pt  httptwittercompublictimeline or link in bottom of settings,1
982, boring who you been talking to lol not me   no ,1
983,  i know right i guess the oldest doesnt hold rank on field trips anymore,1
984,just signed upso hello twitter world here i am,1
985, i wont be getting any rotf toys till much later  tell me if anybody isntis worth getting,1
986, heading over to xbox  will go shopping 2morrow,1
987, i saw that you were calling but cannot answer as im in the second hour of a phone convo with my mom and she wont stop talking,1
988,is excited  httpplurkcompstk04,2
989, hmmm really thats weird idk about that one  sowwy,0
990, oh that looks boring  and even more boring you have an exam on a saturday,0
991,practice was a beast today not going to see julian tonight,1
992,getting somewhere with my first real kiokudb and catalyst app yay,1
993, thanks though  am trying to be positive  wine may not be helping lol  wish i could make the gigs,2
994, i think my niece got me sickee  lame,0
995,rise and shine  time to get prettifide,2
996, i tried sooooo hard to work from home today but failed  not my fault though,0
997, gosh ive a stinky old headache maybe i should have lunchfast,0
998,glenna is bored but glad that it is a beautiful day macy went swimming and kris played golf while i sat at home waiting for them,1
999,bout 2 have 1 more drink then imma head in da house,1
1000,i get so sucked in to true life and that steveo documentary was intense i love that  its nice to see people get their lives back,1
1001,i love my life  ni night twitter3,2
1002, we knew what what you meant,1
1003,succesfully following tayla,2
1004,my new phrase is you never doubt mo williams   six game win streak,1
1005, have fun tomorrow night i think it will be more fun at a bar than art gallery wish i could be there,2
1006, 4th please not maybe shell get 3 attempts and win tomorrow,1
1007,trying to learn to tweet  its all good i hope,2
1008,bleargh i can never clean as much of my house as i want to before work no matter how early i wake up today sink laundry,0
1009,great social network sites are still growing,2
1010, if i got paid by the hour i could retire by now  do you have xbox live i am thinking rock band,1
1011,i should learn not to walk all day and then sprint through sprinklers without stretching,1
1012, soi was half asleep when i wrote the previous message greatest friends haha  you are,2
1013, im still trying to see star trek ill just have to woman up and go alone bf is pretty much worthless anyway  lol,1
1014,  laws change in the 70s or 80s   i could really push it bcause gran from bathgate but she was us citizen b4 dad born,1
1015,some of my new followers are pretty cool tweeps check em out,2
1016,no work today went shopping and now relaxing  learning for the toefl,2
1017,is off to watch arsenal v chelsea today,1
1018,hes getting ear tubes in about an hour so no food,1
1019, yay asap lol awwh i miss our friday night happy hours even luna del sea and the boy hahahaha,0
1020,left the bases loaded,1
1021, cowboy westernshavent seen those in a while good luck,2
1022, its already over ,0
1023, i was trying to back all her documents up but it wasnt playing along its taking forever but am back at it again now,1
1024,doing some test shooting later this afternoon  did i mention being in holland for an indie wine festival this week my tongue is red,1
1025,my dad knows i got drunk today and i didnt get in trouble,2
1026, so ill excuse your love for the cavs and the west even though i dont share it,1
1027, lol  i could try  seriously tho dont do all of it that sucks ,0
1028,  i wanna see the rest i only saw like 30 minutes,0
1029,happy mothers day mom  i love you,2
1030,burning cds  outa blank discs,2
1031, new album is truly genius so happy with it,2
1032, youre alive  go w the notebookitll make you cry and stuff,0
1033, okaii cool  i cant wait for the series to begin its guna be awesome  x,2
1034,crying to a walk to remember as usual,0
1035,i only hav 8 followers                 ,1
1036,happy star wars day everyone  off to celebrate with the family ok were not celebrating it but i am going round to the famos,2
1037,i also have a certain cd from camp that a certain somebody gave me  yeah theres this guy in the video thats really frickin hot,2
1038,its mothers day,1
1039,yay for birthdays  sadly my voice is almost gone  but it was a pretty good night,1
1040,we finally hit 1000 friends thanks,2
1041, im part of a religion called peoplewithgoodtasteinmusic we dont celebrate jonas brothers day,1
1042,im at workbored out of my mind,0
1043,watching the notebook,1
1044, yes because those taxes disguise the booking fees and commissions that online travel portals charge try ixigocom next time,1
1045,twitters gettin a lil bit confusin twitterifictwitdroidtwitterberry i understant the txt bit tho lol  ah well twitters cool anyways,1
1046,finally sleep time,1
1047, httptwitpiccom4l85a  best kind of gum ever i just bought a pack,2
1048,the heater blew up,0
1049, i tried and failed,0
1050,  just finished mine some parts were remarkably difficult  cramming kanji now,0
1051,why is everyones tweets about britains got talent i feel left out,0
1052,yay mothers day  i love mi madre,2
1053,they wouldnt reverse any of my overdraft fees,0
1054,n9ne im not having a good day,0
1055,i miss the soulja boy dance,0
1056,i woke up an came to the realization that i can put it off as much as i want but i need 2 drop some friends dammit,0
1057,11 days left until freedom i really just want to get through this weekend i hate essays,0
1058,  lol you guys are awesome,2
1059,home good night world,2
1060, httptwitpiccom4vtlm  awww she is really cute,2
1061,got alot of runnin around to do today to get this job app completed so they can have it on file so glad i got this job,2
1062,lappy charger is completely dead conserving whats left of the battery until i can afford to buy a new one,0
1063, well i must say she is very lucky to have you i guess that means no chillin and concert with me huh,1
1064,happy mothers day all of the moms around the world  i love mine more than anything in the world and cant wait to celebrate woo,2
1065,i put a real pic of myself up im going to miss the avatar,0
1066,doing my folio work but keep on getting distracted by deb pics,0
1067,sad that borders did not have guerrilla gardening book but otherwise a most lovely relaxing day,1
1068,i cant sleep i cant find my grandmothers quilt or locket im sick at myself cause i may have lost them somehow or they were stolen,0
1069,had to take my bad  dog to the pet hotelso sad,0
1070,about to hit the sheets,1
1071,i wish i had my ipod  i need some jonas  i miss their sexy voices  jb forever ,1
1072,watching gilmore girls reruns dont know what else to do for the day,1
1073,wow its hot and miserable people are probably killing themselves right about now,0
1074, thanks mama  i absolutely adore her,2
1075, ohh snapp have fun,1
1076,sitting waiting for an exam to start,1
1077, i dont think ive ever tried peanut butter on toast,1
1078, i would but hes premiering avatar footage and cant do it then also we better hang out,2
1079,home from chelseas  jam sessions  3  chelsea  abby  i luh you,2
1080,well be visiting my grandparents later btw i just heard katy perrys hook up whew so cool i love it more than kclarksons version,2
1081,  very sweet haha i am like super proud to be a new mom i feel like i got the perfect daughter and i am a great mom,2
1082,gosh im bored its earlyn i wanna goto sleeeepp why am i at work  kay3,0
1083, im sure shell be fine theyre not as daft as they look sometime,1
1084,ha id give kristen plenty of free hugs sigh if only i could,1
1085, and yes i 3 mac if only it werent so expensive,1
1086, i hate cottage cheese  i even got some fancy stuff last weekend with lemon and berriesi could only eat half of it,0
1087,  link isnt working,1
1088,i just need to go to the bank,1
1089, you should come to estonia i know some epic horses here hehe and a good trainer and good beaches were to ride,2
1090,jonas101 wow theyre totally amazing and theyre more than awesome,2
1091,just got laid off  stupid economy,0
1092,httptwitpiccom67i90  my plans have been ruined,0
1093,nothing better than to have your grandaughter smile and nothing feels better than that big hug grandkids what a hoot,2
1094,wake up darling,1
1095, oh i know and i aprreciate it  it can be my back up plan,2
1096, yes i would love some more cowbell,2
1097, umm dont ya mean ship,1
1098,i really wanna go to australia and england,1
1099,i just slept that entire flight and woke up to the fact that the girl beside me had been watching chitty chitty bang bang,1
1100,just had a gym sesh,1
1101,trying to get to sleep but mum is blaring les mis really loudly in the sitting room,0
1102,dont think im gonna be able to go to see the jb 3d concertwrong time no where very close by,0
1103,im a sad panda hulu doesnt have the elephant show   no skinnamarinkydinkydink sing alongs for me,0
1104, whats up what happened dm me if you need to txt on my phone is defunkd,1
1105,is 500 words into a 10 minute speech on 80s teen movies due wednesday blah blah cant wait for the glenn ball,1
1106,im gonna cry    i went bad at my history test  i really hate history  ,0
1107,just got up couldnt sleep anymore i guess and im not really gonna go back to bed im not really sleepy,1
1108,going to work,1
1109, i agree with the whole hollie thing,1
1110, truetrue  but hes not xd,2
1111,sad i missed  going away party due to too much work but i really am gonna miss that kid,0
1112,ive come to the conclusion that lemongrass chicken tastes like lysol   so much for lunch,1
1113,one of the most random phone calls ever my god kill me now,0
1114, more 3criminy cuteness httptinyurlcomcd8yab sinfest,2
1115,the neighborhood gas station is gone kaput out of business no more convenient trips for ice or whatevs over 3 miles now to travel,0
1116,tomorrows mothers day  me n my sis gonna make an onigiri for our mom its gonna be so kewl cant wait for tomorrow ,2
1117,it makes me sad when people phones are sick,0
1118,taking care of sick children,2
1119, welcome to my life,2
1120, same here  events  writing songs but i just finished my tmnt vs mmpr song so im excited to record that on wednesday,2
1121, yup way to  early and im already at work,1
1122, oh sweet ill definitely check it out when i get the chance,2
1123, youuuure an aaass  my aaass loooool,0
1124,i want to ride my bicycle today but its too cold and cloudy today,0
1125, important person  who,1
1126, thats not what  said  i like you too though  is going steady with  though,1
1127, thank you one day at a time right,2
1128, i missed mine too not fun,0
1129,via  found geocache heads up httpcoordinfogc1ret6 probably my only find of the day  httpbitlyjs3s4,1
1130,let me dream about my spock now goodnight,1
1131,e thanks for following me nice to meet you,2
1132,danny cut his beautiful curls,0
1133,god is so good,2
1134,forcing myself to watch the movie 1984 for my book report  im lazy to read,0
1135, thanks amy its full of hotness,2
1136, dont think i can take a needle watched a horribly gory short film on drugs a few months ago im scarred for life,0
1137,just finished watching the last of star wars,1
1138,thanks     httpblipfm5z6n8,1
1139,cant be arsed to get out of bed  hello sunshine,0
1140,every pair of jeans i own nowadays is very tight  i think mah butt gettin big oh,0
1141,i bought two tops and a scarf yesterdaysister has successfully hijacked them this morning to wear to breakfast after removing tags,1
1142, btw do you realize your profile pic makes you look much older than you say you are,1
1143, aw sorry e  i hope it looks up for you lame ear and theres always next year  lamer ear  fail uhhlove ya e,1
1144, tinycc doesnt seem to load for me  i was thinking on going to the batting cages but apparently you gotta book in adv,1
1145, cheese and onion vinegar taste weird on crisps englands got loads of weird crisps flavorus  lol what do you like  x,0
1146, thank yooou i might have to get it seen to hm  ,2
1147,ohh grandpas stable wont kno all details til tomorrow when i visit keep him me and my fam in ur prayersthank you   goodnite,2
1148,sore throat this is not good i have four performances this weekend,0
1149, it because your handwriting isnt on any of them and everyone is making fun of me because im sitting by myseld in the lrc,0
1150,so disappointed about the talent lineup for reventã¯â¿â½n super estrella 2009hmmhave the feeling i wont get tix this time around,0
1151,this is for all of you ppl the 1 year anniversary video httpisgdysbs more to come after the break,1
1152, can i come   im merci btw i have always been so inspired by you since i was a teenager,2
1153, how crappy for him,0
1154,its freezing cold i cant function right in this type of weather starving to the max,0
1155,anyone ever had that heavy feeling of sadness in their hearts thats my case rite now,0
1156, haha sorry to hear that,1
1157,k2k  y360 closing get out,0
1158, hes too old school for burnouts just a lap around the track like they used to  nascar,1
1159,hannah slept here last night  just gave her her 500 am bottle and she went right back to sleep but im up lol,1
1160, aww if i could i would  gby ,2
1161,i ate too many kisses,0
1162, thanks for the warning good thing my heart is unbreakable,2
1163,everyone at my place tomorrow  bonfire tofu dogs and austin powers,1
1164,  like youre stuff  strange voicemails httpbitlyykxms,2
1165, well done happy for ya,2
1166, oks  yes infact we had chatted earlier on n00bin as well,1
1167, and you as well bro,1
1168, im sorry  i wish that i was there instead it would give you a good excuse to get away from him hehei love you 3,1
1169,true to form bank holiday monday looks like it might be rainy hope it holds off til later familyfriends plan walk and picnic today,2
1170, how do you call that number from the uk   i really want to call u but i dont know how to  xxxxxx,1
1171,thinks fml should changed to lml love my life,2
1172,ha  im giving spymaster a chance  just curious will miss u,0
1173, ah i thought management fiat was your own fiat  oh well and shripriya or shri if one must shorten it,1
1174,loves the 2nd half of even days orch and jazz band with daddy,2
1175,is tired and turning off the internet you can play on it in the morning,0
1176,watching walleits so cute but sad,1
1177,happy star wars day,2
1178,just got notified my podcast was accepted into itunes httpbudurlcomsbit of course i then realized it was miss formated  fixed now,0
1179,heyythnxxorinvitingmetourpartyrobillbedownthereonjune24thillmissuwhenugotoitaly   333333333 txtmehon,2
1180,is tired of summer already,0
1181,there mite be a article in the trib bout portia keep an eye out for it,1
1182, ive given up on pizza  kids would never let me have my fav  the hot ones,0
1183,im hangin out with my cousin holly and tlkin 2 my grandparents  my phone went dead,0
1184, thats great,2
1185,princess sakura is mine  therefor i want to use it on tj grr,1
1186,i wish i could teach my dog how to play xbox  alasno thumbs,0
1187,cleaning out my room and found this httpyfrogcom0t2b6j   she took me to 2w2v and insisted on paying for my ticket,1
1188, thanks im totally bushed today though time for some coding,2
1189,still making icons,1
1190,gonna go 2 bed now night tweeters   dont think about me when you sleep  hahah nite all,1
1191,waiting for my turn on wii fit gym closed,1
1192,omg is this the sun glimpsing through the clouds woohoo,2
1193, haha yea i just feel like its being taken the wrong direction used to be a cool place now its a mess,0
1194, shes must be a truly amazing woman for having a phenomenal son,2
1195, very nicei cleared my head,2
1196, i think itll be more like a casual attendance instead of a review as there might not be another issue of felix by then  thanks,1
1197, your pic didnt show up for me  boo all the other pics on that site show up but not yours,1
1198,baby i need you  right here  right now,1
1199, umm get ready help my mum give gj his presents when he gets up could be a while wait for people to arrive then party,2
1200, together,1
1201,httptwitpiccom4wuaq  another prof pic,1
1202,happy mothers day mom,2
1203, httptwitpiccom4vw9a  im not gonna buy onenor two but three i will be the ultimate slaughter machine,1
1204,asylm yay registered but lost all my friends,0
1205,church bellss are ringin  got to go adieugod bless in german,2
1206,still feel like craaaap and like everyone on earth needs to know this lol have fun birdies,1
1207, watching dor on utv movies again great performance,2
1208,did u watch the spelling bee contest  winner kavya shivshankar  impressive performance  i had not even heared most of the words b4,2
1209, probably not in this weather,0
1210,some relaxation so much things on my list but really not that much,1
1211,got your message you are such a twitter freak,1
1212, no wonder you hate driving and country roads and stuff,0
1213,heading out to a longband practice last one before our first show on saturday night hope its a good one  httpdiggcomu12miw,2
1214,says happy mothers day to all the moms out there  httpplurkcompstezd,2
1215, sorry to hear your news,0
1216, ive been there  the only place i have flown out of since moving up north really pretty area for flying but very expensive,1
1217,sad daniel is leaving florida now just gave him a big hug,0
1218,its mothers dayi already bought and gave my mothers day present to my mother,2
1219,best friend is leaving to go back to school todayi am so sad,0
1220, hey what about us followers in atl,1
1221,1111 pm perrrfect universal alignment    33,1
1222,has a new nick name  arosh i like i like,2
1223,i was so bored i decided to iron all my baju sklh thn i realized i hate doing tht so all i did was iron a sleeve hahaha im off to schl,1
1224, no trump casino in vegas,1
1225,jimski in my book yes,1
1226, ilooked in my phone book and ur name was the first to show and i was like i got titi number but it was just ur email,1
1227,asks for karma points please  httpplurkcompwxnt9,1
1228, will do,1
1229,officially booked for seattle with  and  its going to be the best birthday weekend ever   you made me sad,1
1230,carter the link doesnt work,1
1231,m awww our mothers day has been and gone o  no work today off out witht he camera in a little while hopefully,1
1232, i guess you get loads of emails  people asking you stuff al the time but i seriously wonder if you ever read my comments  x,0
1233,up late with nothin 2 do,1
1234,ahh i love chinese music haha  not gonna see my luff til thursday,2
1235,people are peoplenooooo id never have guessed thtidiotim grouchy now,0
1236, i see you hannah klein lookin good today,2
1237,aha marie my brothers wallpaper on his phone is dolly the sheep  aha im loling,2
1238, its saying that it is the wrong linkit cannot find the address,1
1239,  i know kittie should be a professional,1
1240,sending blessings out to ,2
1241, ahh ok enjoy ill miss it,1
1242,so tonights tv viewing bgt or hignfy and reggie perrin wont be tweeting however as  minic has hidden ipod,1
1243,mudweight hauled in for last time by   httpyfrogcom0zr2jqj,0
1244,has dislocated her knee  badpainful times gas  air and morphine are fun though,1
1245,i cant believes its already monday the weekend went by soooo fast keeping my fingers crossed that will too,0
1246,barack obama is a legend just watched his dinner speach it was pretty funny,2
1247,i got whooped by jason bradbury ace 0,1
1248, ouch i wont be down in miami tomorrow morning that sucks  its a cruise are you driving back the next saturday,0
1249,sadd  last night in fl going back to ar tomorrow,0
1250,according to mary chaayaa i look like a sexy emo in my dp  i not emo,1
1251, sounds awesome,2
1252, well you are a tricky one so i would say 65,1
1253, no my school will start on june1  two days to go i still dont want l,0
1254, still no internet today,1
1255,tbh having no credit in your phone sux i cant even text people to see whats happening like its totally grrrsville,0
1256,gahhhh homework masterchef in half an hour hahah and the recruits,1
1257,this month was a bad month to try and get an advert together for kobold quarterly,0
1258, im concerned for that family,2
1259,idk i cant do ,0
1260,only gets spam in her college email account now what a way to rub in graduation,0
1261, im very much in tune with your words today thanks,2
1262, how are you gonna get them i got bitten,0
1263, im so sad i missed your calling time i got home from practice too late,0
1264, im jealous  im slaving away at the store and youre chilling on the boat,0
1265,  we get so bored with routine lol,1
1266,what does drink responsibly mean to you please share a tip or two if youre drunk right now  ,1
1267,i got up early to pay bills i figured its like a bandaid if i get it over quickly it wont be so bad i was wrong,0
1268, ooh work im afarid  looking forward to a sunny weekeknd tho,0
1269,watch lowkey freestyling and selling his mixtape  on httptinyurlcomdev4xh and performing in norwich tonight,1
1270,i feel sorry for my bestie  good luck ali,1
1271,  i need one of these was just thinking about it earlier today as i downloaded pictures via usb  evernoteeyefi,1
1272,putting 3 new consultants to work this week its a good feeling  congrats on your offers,2
1273,oh gosh how i want the party to be over and done with already,1
1274,ive totally not got that job  i can just tell,1
1275,just snappys delivered some tea and ice cream i love my sister,2
1276, eek cant wait to see it as well as everyone elses gahh i dont know what i want  lol,1
1277,friday so freakin happy today was an annoying day  buuut weekend tgif3,2
